Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,71.616814,73.759094,71.519806,72.983025,57.359444,1213126
2015-08-28,72.667747,73.411476,71.738075,72.368637,56.876579,1150286
2015-08-31,72.166534,72.853676,70.436539,70.485046,55.396214,1464113
2015-09-01,69.361359,70.436539,68.860146,69.506874,54.627434,1339053
2015-09-02,70.137428,70.808411,69.797897,70.517380,55.421627,902886
2015-09-03,70.703316,71.293449,70.355698,70.557800,55.453388,997146
2015-09-04,69.911072,69.983833,68.391266,68.649963,53.953964,1232423
2015-09-08,69.822151,70.194016,69.086502,70.016167,55.027714,1187025
2015-09-09,70.776070,70.816490,69.369446,69.555374,54.665550,1045265
2015-09-10,69.280518,70.994339,69.280518,70.226357,55.192905,952490
2015-09-11,70.008087,71.859337,69.733223,71.843170,56.463600,1053182
2015-09-14,72.021019,72.021019,71.228783,71.544060,56.228523,880373
2015-09-15,71.552139,72.748589,71.139854,72.594986,57.054482,1009516
2015-09-16,72.433304,73.742928,72.158447,73.556992,57.810539,795267
2015-09-17,73.468071,75.675018,73.257881,74.389648,58.464962,1033761
2015-09-18,73.193207,75.101051,73.193207,74.179466,58.299770,1855376
2015-09-21,74.413902,75.189980,74.090546,74.640259,58.661903,812214
2015-09-22,74.106712,74.478577,73.371056,73.589333,57.835949,1080272
2015-09-23,73.637833,74.244141,73.193207,73.872269,58.058315,702121
2015-09-24,73.540825,73.993530,72.772835,73.233627,57.556396,988858
2015-09-25,73.880356,74.187553,72.958771,73.653999,57.886772,631117
2015-09-28,73.080032,73.354889,72.142281,72.481812,56.965523,897938
2015-09-29,72.506065,73.411476,72.392883,73.265968,57.581814,758652
2015-09-30,73.831848,74.017784,72.627327,73.096199,57.448387,1249617
2015-10-01,73.443817,73.532738,72.206955,73.217461,57.543694,876291
2015-10-02,72.999191,74.139046,72.409058,74.130959,58.261635,815554
2015-10-05,74.494743,75.157639,74.155212,75.101051,59.024059,814070
2015-10-06,74.931282,75.416328,74.502831,75.084885,59.011372,634086
2015-10-07,75.189980,76.289413,75.149551,76.232819,59.913563,1178614
2015-10-08,76.014549,77.566696,75.812447,77.510101,60.917419,971292
2015-10-09,77.461601,77.607117,76.540016,76.984642,60.504429,688762
2015-10-12,77.041229,77.841553,76.887634,77.801132,61.146114,825574
2015-10-13,77.687958,78.011314,76.790619,77.356506,60.796692,972653
2015-10-14,77.558609,77.776878,76.790619,77.138237,60.625141,661177
2015-10-15,77.558609,78.973320,77.299919,78.924820,62.029278,1358845
2015-10-16,79.353271,79.878738,79.078415,79.442200,62.435886,843758
2015-10-19,79.345192,81.059013,79.223930,81.026680,63.681198,960902
2015-10-20,80.638641,81.317703,79.902992,80.452705,63.230076,962139
2015-10-21,80.743736,81.083267,79.854485,79.886826,62.785343,661671
2015-10-22,80.202103,81.333870,79.991913,81.010506,63.668476,1015577
2015-10-23,80.929672,81.471298,79.862572,80.460793,63.236443,1362432
2015-10-26,80.630554,80.743736,80.080841,80.646729,63.382576,765085
2015-10-27,80.412285,80.864998,79.983833,80.468880,63.242798,623572
2015-10-28,80.590134,81.447052,79.636215,81.422798,63.992512,1203106
2015-10-29,80.978172,81.495552,80.816490,81.406631,63.979797,561722
2015-10-30,81.398544,81.544060,80.913498,81.285370,63.884476,1828286
2015-11-02,81.293449,83.597412,79.474533,83.597412,65.701591,1157461
2015-11-03,83.476151,83.476151,79.797897,81.487473,64.043327,1592266
2015-11-04,81.649155,81.924011,80.460793,80.759903,63.471527,1230568
2015-11-05,80.598221,80.848831,80.129349,80.662895,63.395287,1136556
2015-11-06,79.029907,79.385612,77.243332,77.995148,61.688107,1225991
2015-11-09,77.995148,78.148750,76.071136,76.798706,60.741825,1058130
2015-11-10,76.887634,77.712204,76.806793,77.364594,61.189392,954346
